央视1频道,#genre#
江苏卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
东方卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
广东卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
广西卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226549/index.m3u8
深圳卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
北京卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
东南卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
四川卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
天津卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
安徽卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
山东卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
江西卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
河北卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河南卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
海南卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
湖北卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
贵州卫视「IPV6」,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8

辽宁卫视,http://pi.0472.org/live/lnws.m3u8?token=240413
河北卫视,http://pi.0472.org/live/hbws.m3u8?token=240413
山东卫视,http://pi.0472.org/live/sdws.m3u8?token=240413
安徽卫视,http://pi.0472.org/live/ahws.m3u8?token=240413
河南卫视,http://pi.0472.org/live/hnws.m3u8?token=240413
湖北卫视,http://pi.0472.org/live/hubws.m3u8?token=240413
湖南卫视,http://pi.0472.org/live/hunws.m3u8?token=240413
江西卫视,http://pi.0472.org/live/jxws.m3u8?token=240413
江苏卫视,http://pi.0472.org/live/jsws.m3u8?token=240413
浙江卫视,http://pi.0472.org/live/zjws.m3u8?token=240413
东南卫视,http://pi.0472.org/live/dnws.m3u8?token=240413
广东卫视,http://pi.0472.org/live/gdws.m3u8?token=240413
深圳卫视,http://pi.0472.org/live/szws.m3u8?token=240413
广西卫视,http://pi.0472.org/live/gxws.m3u8?token=240413
贵州卫视,http://pi.0472.org/live/gzws.m3u8?token=240413
四川卫视,http://pi.0472.org/live/scws.m3u8?token=240413
新疆卫视,http://pi.0472.org/live/xjws.m3u8?token=240413
海南卫视,http://pi.0472.org/live/hinws.m3u8?token=240413

卫视组播,#genre#
广东卫视高清,http://218.18.4.72:8888/udp/239.77.0.84:5146
深圳都市频道,http://218.18.4.72:8888/rtp/239.77.1.176:5146?Cf=cfss.cc
广东珠江超清,http://218.18.4.72:8888/rtp/239.77.0.114:5146?Cf=cfss.cc
海南卫视高清,http://112.66.231.204:554/rtp/239.253.64.253:5140?Cf=cfss.cc
四川卫视高清,http://222.209.49.12:8088/rtp/239.93.0.20:1235
CDTV-1高清,http://222.209.49.12:8088/rtp/239.93.0.16:5140
湖南卫视高清,http://222.209.49.12:8088/rtp/239.93.0.88:5140
江苏卫视高清,http://222.209.49.12:8088/rtp/239.93.0.89:5140
浙江卫视高清,http://222.209.49.12:8088/rtp/239.93.0.124:5140
东方卫视高清,http://222.209.49.12:8088/rtp/239.93.0.123:5140
北京卫视高清,http://222.209.49.12:8088/rtp/239.93.0.180:5140
深圳卫视高清,http://222.209.49.12:8088/rtp/239.93.0.182:5140
广东卫视高清,http://222.209.49.12:8088/rtp/239.93.0.181:5140
天津卫视高清,http://222.209.49.12:8088/rtp/239.93.0.167:5140
山东卫视高清,http://222.209.49.12:8088/rtp/239.93.0.168:5140
SCTV-2高清,http://222.209.49.12:8088/rtp/239.93.1.101:5140
SCTV-3高清,http://222.209.49.12:8088/rtp/239.93.1.102:5140
SCTV-4高清,http://222.209.49.12:8088/rtp/239.93.0.47:5140
SCTV-5高清,http://222.209.49.12:8088/rtp/239.93.0.166:5140
SCTV-6高清,http://222.209.49.12:8088/rtp/239.93.1.144:5140
SCTV-7高清,http://222.209.49.12:8088/rtp/239.93.0.219:5140
SCTV-科教高清,http://222.209.49.12:8088/rtp/239.93.42.44:5140
四川乡村高清,http://222.209.49.12:8088/rtp/239.93.0.52:5140
康巴卫视高清,http://222.209.49.12:8088/rtp/239.93.0.41:5140
江西卫视高清,http://222.209.49.12:8088/rtp/239.93.0.134:5140
东南卫视高清,http://222.209.49.12:8088/rtp/239.93.0.42:5140
黑龙江卫视高清,http://222.209.49.12:8088/rtp/239.93.0.183:5140
重庆卫视高清,http://222.209.49.12:8088/rtp/239.93.1.107:5140
贵州卫视高清,http://222.209.49.12:8088/rtp/239.93.0.131:5140
湖北卫视高清,http://222.209.49.12:8088/rtp/239.93.0.250:5140
安徽卫视高清,http://222.209.49.12:8088/rtp/239.93.1.106:5140
河北卫视高清,http://222.209.49.12:8088/rtp/239.93.0.132:5140
辽宁卫视高清,http://222.209.49.12:8088/rtp/239.93.1.108:5140
河南卫视高清,http://222.209.49.12:8088/rtp/239.93.42.45:5140
广西卫视高清,http://222.209.49.12:8088/rtp/239.93.42.46:5140
云南卫视高清,http://222.209.49.12:8088/rtp/239.93.1.174:5140
吉林卫视高清,http://222.209.49.12:8088/rtp/239.93.0.248:5140
陕西卫视,http://222.209.49.12:8088/rtp/239.93.0.176:5140
山西卫视,http://222.209.49.12:8088/rtp/239.93.0.6:5140
内蒙古卫视,http://222.209.49.12:8088/rtp/239.93.0.8:5140
青海卫视,http://222.209.49.12:8088/rtp/239.93.0.192:5140
宁夏卫视,http://222.209.49.12:8088/rtp/239.93.0.247:5140
西藏卫视,http://222.209.49.12:8088/rtp/239.93.0.175:5140
新疆卫视,http://222.209.49.12:8088/rtp/239.93.0.194:5140
甘肃卫视高清,http://222.209.49.12:8088/rtp/239.93.0.81:5140
海南卫视,http://222.209.49.12:8088/rtp/239.93.0.80:5140
陕西农林,http://222.209.49.12:8088/rtp/239.93.0.100:5140
兵团卫视,http://222.209.49.12:8088/rtp/239.93.42.43:5140
峨眉电影高清,http://222.209.49.12:8088/rtp/239.93.0.252:5140
厦门卫视,http://222.209.49.12:8088/rtp/239.93.42.57:5140
三沙卫视,http://222.209.49.12:8088/rtp/239.93.42.58:5140
山东教育卫视,http://222.209.49.12:8088/rtp/239.93.1.196:5140
延边卫视,http://222.209.49.12:8088/rtp/239.93.0.249:5140
中国交通,http://222.209.49.12:8088/rtp/239.93.0.142:5140

